Position,Const,Created,Modified,Description,Name,Known For,Birth Date
305,nm1349376,2016-11-07,2016-11-07,,Francis Lawrence,The Hunger Games: Catching Fire,1971-03-26
306,nm0003506,2016-11-07,2016-11-07,,James Mangold,Logan,1963-12-16
307,nm0001752,2016-11-07,2016-11-07,,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
308,nm0000146,2016-11-07,2016-11-07,,Ralph Fiennes,The Grand Budapest Hotel,1962-12-22
309,nm0001282,2016-11-07,2016-11-07,,Tony Goldwyn,Ghost,1960-05-20
310,nm0000750,2016-11-07,2016-11-07,,Jon Amiel,Copycat,1948-05-20
311,nm0669004,2016-11-07,2016-11-07,,Richard Pearce,Heartland,1943-01-25
312,nm0573589,2016-11-07,2016-11-07,,David McNally,Kangaroo Jack,
313,nm0005647,2016-11-07,2016-11-07,,Andrzej Bartkowiak,Falling Down,1950-03-06
314,nm0000209,2016-11-07,2016-11-07,,Tim Robbins,Mystic River,1958-10-16
315,nm0004410,2016-11-07,2016-11-07,,Mark Neveldine,Gamer,1973-05-11
316,nm0353673,2016-11-07,2016-11-07,,Paul Haggis,Crash,1953-03-10
317,nm3363032,2016-11-07,2016-11-07,,Ryan Coogler,Black Panther,1986-05-23
318,nm1247462,2016-11-07,2016-11-07,,Christopher Smith,Triangle,
319,nm0355097,2016-11-07,2016-11-07,,Jackie Earle Haley,Watchmen,1961-07-14
320,nm0469694,2016-11-07,2016-11-07,,Wayne Kramer,The Cooler,
321,nm0474955,2016-11-07,2016-11-07,,Roger Kumble,Cruel Intentions,1966-05-28
322,nm0000127,2016-11-07,2016-11-07,,Wes Craven,A Nightmare on Elm Street,1939-08-02
323,nm0001501,2016-11-07,2016-11-07,,Louis Malle,Au revoir les enfants,1932-10-30
324,nm0304521,2016-11-07,2016-11-07,,Christophe Gans,Le pacte des loups,1960-03-11
325,nm0373282,2016-11-07,2016-11-07,,Peter Hedges,About a Boy,1962-07-06
326,nm0380980,2016-11-07,2016-11-07,,Marshall Herskovitz,Thirtysomething,1952-02-23
327,nm0808807,2016-11-07,2016-11-07,,John N. Smith,Sitting in Limbo,1943-07-31
328,nm1557594,2016-11-07,2016-11-07,,Dan Fogelman,This Is Us,
329,nm0425756,2016-11-07,2016-11-07,,Mark Steven Johnson,"Love, Guaranteed",1964-10-30
330,nm0660707,2016-11-07,2016-11-07,,Gilles Paquet-Brenner,Elle s'appelait Sarah,1974-09-14
331,nm0758574,2016-11-07,2016-11-07,,Walter Salles,Central do Brasil,1956-04-12
332,nm0000517,2016-11-07,2016-11-07,,Terrence Malick,Days of Heaven,1943-11-30
333,nm0000110,2016-11-07,2016-11-07,,Kenneth Branagh,Henry V,1960-12-10
334,nm0811583,2016-11-07,2016-11-07,,Zack Snyder,300,1966-03-01
335,nm0003418,2016-11-07,2016-11-07,,Rob Cohen,DragonHeart,1949-03-12
336,nm0649117,2016-11-07,2016-11-07,,Niels Arden Oplev,Män som hatar kvinnor,1961-03-26
337,nm0001837,2016-11-07,2016-11-07,,Peter Weir,Master and Commander: The Far Side of the World,1944-08-21
338,nm0776209,2016-11-07,2016-11-07,,Carl Schultz,"Careful, He Might Hear You",1939-09-19
339,nm0001438,2016-11-07,2016-11-07,,Neil LaBute,In the Company of Men,1963-03-19
340,nm0347086,2016-11-07,2016-11-07,,John Guillermin,The Towering Inferno,1925-11-11
341,nm1490123,2016-11-07,2016-11-07,,James Wan,The Conjuring 2,1977-02-26
342,nm0002413,2016-11-07,2016-11-07,,David Jackson,The Equalizer,
343,nm0764776,2016-11-07,2016-11-07,,Deran Sarafian,Alien Predator,1958-01-17
344,nm2251947,2016-11-07,2016-11-07,,Marcel Langenegger,Deception,
345,nm0001460,2016-11-07,2016-11-07,,Mimi Leder,On the Basis of Sex,1952-01-26
346,nm0000983,2016-11-07,2016-11-07,,Albert Brooks,Drive,1947-07-22
347,nm0111845,2016-11-07,2016-11-07,,Adam Brooks,"Definitely, Maybe",1956-09-03
348,nm0000958,2016-11-07,2016-11-07,,John Boorman,Hope and Glory,1933-01-18
349,nm0779433,2016-11-07,2016-11-07,,Ken Scott,Delivery Man,
350,nm0104193,2016-11-07,2016-11-07,,Marco Brambilla,Demolition Man,
351,nm0001675,2016-11-07,2016-11-07,,Robert Rodriguez,El mariachi,1968-06-20
352,nm0405632,2016-11-07,2016-11-07,,Mikael Håfström,Ondskan,1960-07-01
353,nm0593610,2016-11-07,2016-11-07,,Mike Mitchell,Monsters vs. Aliens,
354,nm0002083,2016-11-07,2016-11-07,,Carl Franklin,One False Move,1949-04-11
355,nm0000382,2016-11-07,2016-11-07,,Atom Egoyan,The Sweet Hereafter,1960-07-19
356,nm0154819,2016-11-07,2016-11-07,,Jeremiah S. Chechik,Benny & Joon,
357,nm0002089,2016-11-07,2016-11-07,,Sidney J. Furie,Superman IV: The Quest for Peace,1933-02-28
358,nm0001915,2016-11-07,2016-11-07,,Emile Ardolino,Dirty Dancing,1943-05-09
359,nm0796923,2016-11-07,2016-11-07,,Don Siegel,Escape from Alcatraz,1912-10-26
360,nm0142286,2016-11-07,2016-11-07,,D.J. Caruso,I Am Number Four,1965-01-17
361,nm0417708,2016-11-07,2016-11-07,,Annabel Jankel,Tell It to the Bees,1955-08-01
362,nm0858525,2016-11-07,2016-11-07,,Betty Thomas,Howard Stern,1947-07-27
363,nm1098493,2016-11-07,2016-11-07,,Rawson Marshall Thurber,Easy A,1975-02-09
364,nm0551076,2016-11-07,2016-11-07,,Neil Marshall,Dog Soldiers,1970-05-25
365,nm0001219,2016-11-07,2016-11-07,,Gary Fleder,Things to Do in Denver When You're Dead,1965-12-19
366,nm0001565,2016-11-07,2016-11-07,,Mike Newell,Four Weddings and a Funeral,1942-03-28
367,nm0446819,2016-11-07,2016-11-07,,Richard Kelly,Donnie Darko,1975-03-28
368,nm0662529,2016-11-07,2016-11-07,,Oliver Parker,Johnny English Reborn,1960-09-06
369,nm0007139,2016-11-07,2016-11-07,,Hark Tsui,Di renjie: Tong tian di guo,1950-02-15
370,nm0788234,2016-11-07,2016-11-07,,John Patrick Shanley,Moonstruck,1950-10-03
371,nm0005196,2016-11-07,2016-11-07,,Paul Mazursky,An Unmarried Woman,1930-04-25
372,nm0715636,2016-11-07,2016-11-07,,Peyton Reed,Ant-Man,1964-07-03
373,nm0002606,2016-11-07,2016-11-07,,David Price,Dr. Jekyll and Ms. Hyde,1961-11-17
374,nm2411495,2016-11-07,2016-11-07,,Gary Shore,Dracula Untold,
375,nm0527261,2016-11-07,2016-11-07,,Patrick Lussier,Drive Angry,
376,nm0405374,2016-11-07,2016-11-07,,Hyung-rae Shim,D-War,1958-01-03
377,nm0174374,2016-11-07,2016-11-07,,Bill Condon,Gods and Monsters,1955-10-22
378,nm0109359,2016-11-07,2016-11-07,,Steven Brill,Adam Sandler: 100% Fresh,1962-05-27
379,nm0454835,2016-11-07,2016-11-07,,Jeff King,The Umbrella Academy,
380,nm0000362,2016-11-07,2016-11-07,,Danny DeVito,Matilda,1944-11-17
381,nm0001814,2016-11-07,2016-11-07,,Gus Van Sant,Elephant,1952-07-24
382,nm0500444,2016-11-07,2016-11-07,,Danny Leiner,"Dude, Where's My Car?",1961-05-13
383,nm0268380,2016-11-07,2016-11-07,,Peter Farrelly,Green Book,1956-12-17
384,nm0006904,2016-11-07,2016-11-07,,Tony Gilroy,Michael Clayton,1956-09-11
385,nm0614682,2016-11-07,2016-11-07,,Ryan Murphy,Glee,1965-11-09
386,nm0510731,2016-11-07,2016-11-07,,Doug Liman,Edge of Tomorrow,1965-07-24
387,nm0121653,2016-11-07,2016-11-07,,David J. Burke,Wiseguy,1948-11-08
388,nm0253819,2016-11-07,2016-11-07,,Ellory Elkayem,Eight Legged Freaks,1970-08-12
389,nm0170043,2016-11-07,2016-11-07,,Isabel Coixet,The Secret Life of Words,1960-04-09
390,nm0101385,2016-11-07,2016-11-07,,Rob Bowman,Reign of Fire,1960-05-15
391,nm0026442,2016-11-07,2016-11-07,,Brad Anderson,Session 9,
392,nm0269463,2016-11-07,2016-11-07,,Jon Favreau,Chef,1966-10-19
393,nm0001408,2016-11-07,2016-11-07,,Shekhar Kapur,Elizabeth,1945-12-06
394,nm0088955,2016-11-07,2016-11-07,,Neill Blomkamp,District 9,1979-09-17
395,nm0721279,2016-11-07,2016-11-07,,Franc. Reyes,The Ministers,
396,nm0177637,2016-11-07,2016-11-07,,Greg Coolidge,Ride Along,1972-12-28
397,nm0510674,2016-11-07,2016-11-07,,Kevin Lima,Enchanted,1962-06-12
398,nm0155536,2016-11-07,2016-11-07,,Andy Cheng,Rush Hour 2,
399,nm0001382,2016-11-07,2016-11-07,,Peter Hyams,2010: The Year We Make Contact,1943-07-26
400,nm0004303,2016-11-07,2016-11-07,,Gavin Hood,Official Secrets,1963-05-12
401,nm0000269,2016-11-07,2016-11-07,,Jean-Jacques Annaud,Der Name der Rose,1943-10-01
402,nm0934483,2016-11-07,2016-11-07,,Kurt Wimmer,Equilibrium,
403,nm0266777,2016-11-07,2016-11-07,,Stefen Fangmeier,The Perfect Storm,1960-12-09
404,nm0751080,2016-11-07,2016-11-07,,Chuck Russell,The Mask,1958-05-09
405,nm0001379,2016-11-07,2016-11-07,,John Huston,The Treasure of the Sierra Madre,1906-08-05
406,nm0224331,2016-11-07,2016-11-07,,Andrea Di Stefano,Life of Pi,1972-12-15
407,nm0327273,2016-11-07,2016-11-07,,Michel Gondry,Eternal Sunshine of the Spotless Mind,1963-05-08
408,nm0005759,2016-11-07,2016-11-07,,Lajos Koltai,La leggenda del pianista sull'oceano,1946-04-02
409,nm0466349,2016-11-07,2016-11-07,,Baltasar Kormákur,Mýrin,1966-02-27
410,nm3656297,2016-11-07,2016-11-07,,Dan Rush,Everything Must Go,
411,nm0000829,2016-11-07,2016-11-07,,Stuart Baird,Skyfall,1947-01-14
412,nm0431918,2016-11-07,2016-11-07,,Mike Judge,Beavis and Butt-Head Do America,1962-10-17
413,nm0891114,2016-11-07,2016-11-07,,Tom Vaughan,Starter for 10,1969-09-05
414,nm0950001,2016-11-07,2016-11-07,,Robert M. Young,Alambrista!,1924-11-22
415,nm0772259,2016-11-07,2016-11-07,,John Schlesinger,Midnight Cowboy,1926-02-16
416,nm0449984,2016-11-07,2016-11-07,,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back,1923-04-29
417,nm0946811,2016-11-07,2016-11-07,,Peter Yates,Krull,1929-07-24
418,nm0000944,2016-11-07,2016-11-07,,Antonia Bird,Priest,1951-05-27
419,nm0357584,2016-11-07,2016-11-07,,Bent Hamer,Salmer fra kjøkkenet,1956-12-18
420,nm0223359,2016-11-07,2016-11-07,,Tom Dey,Shanghai Noon,1965-04-14
421,nm0387706,2016-11-07,2016-11-07,,Gregory Hoblit,Hill Street Blues,1944-11-27
422,nm0001331,2016-11-07,2016-11-07,,Todd Haynes,Far from Heaven,1961-01-02
423,nm0043214,2016-11-07,2016-11-07,,Meiert Avis,Bob Dylan: Series of Dreams,
424,nm0863387,2016-11-07,2016-11-07,,George Tillman Jr.,The Hate U Give,1969-01-26
425,nm0001490,2016-11-07,2016-11-07,,Adrian Lyne,Flashdance,1941-03-04
426,nm0740213,2016-11-07,2016-11-07,,Darrell Roodt,Yesterday,1962-04-28
427,nm0639328,2016-11-07,2016-11-07,,Rockne S. O'Bannon,Farscape,1955-01-12
428,nm0000416,2016-11-07,2016-11-07,,Terry Gilliam,Brazil,1940-11-22
429,nm0006846,2016-11-07,2016-11-07,,Ric Roman Waugh,Felon,1968-02-20
430,nm0770961,2016-11-07,2016-11-07,,Fred Schepisi,Empire Falls,1939-12-26
431,nm0950000,2016-11-07,2016-11-07,,Robert Young,Splitting Heirs,1933-03-16
432,nm0000399,2016-11-07,2016-11-07,,David Fincher,Se7en,1962-08-28
433,nm1996918,2016-11-07,2016-11-07,,Dito Montiel,A Guide to Recognizing Your Saints,1965-07-26
434,nm0423333,2016-11-07,2016-11-07,,Phil Joanou,State of Grace,1961-11-20
435,nm0286975,2016-11-07,2016-11-07,,Marc Forster,World War Z,1969-11-30
436,nm0518644,2016-11-07,2016-11-07,,Richard Loncraine,Richard III,1946-10-20
437,nm0467646,2016-11-07,2016-11-07,,Ted Kotcheff,Weekend at Bernie's,1931-04-07
438,nm0001845,2016-11-07,2016-11-07,,Forest Whitaker,The Last King of Scotland,1961-07-15
439,nm0958387,2016-11-07,2016-11-07,,Jerry Zucker,Airplane!,1950-03-11
440,nm0082300,2016-11-07,2016-11-07,,Tony Bill,Flyboys,1940-08-23
441,nm0705535,2016-11-07,2016-11-07,,Michael Radford,Il postino,1946-02-24
442,nm0393661,2016-11-07,2016-11-07,,Kevin Hooks,Innerspace,1958-09-19
443,nm0777881,2016-11-07,2016-11-07,,Robert Schwentke,Der Hauptmann,
444,nm1491603,2016-11-07,2016-11-07,,Tony Mitchell,The Bible,
445,nm0137363,2016-11-07,2016-11-07,,Carlo Carlei,La corsa dell'innocente,1960-04-16
446,nm0275629,2016-11-07,2016-11-07,,Glenn Ficarra,I Love You Phillip Morris,
447,nm0720135,2016-11-07,2016-11-07,,John Requa,I Love You Phillip Morris,
448,nm0400486,2016-11-07,2016-11-07,,Bronwen Hughes,The Journey Is the Destination,
449,nm0000345,2016-11-07,2016-11-07,,Billy Crystal,Forget Paris,1948-03-14
450,nm0002340,2016-11-07,2016-11-07,,Stuart Gordon,Re-Animator,1947-08-11
451,nm0677943,2016-11-07,2016-11-07,,Daniel Petrie Jr.,Beverly Hills Cop,
452,nm0000200,2016-11-07,2016-11-07,,Bill Paxton,Aliens,1955-05-17
453,nm0000339,2016-11-07,2016-11-07,,Roger Corman,The Silence of the Lambs,1926-04-05
454,nm0914132,2016-11-07,2016-11-07,,Mark Waters,(500) Days of Summer,1964-06-30
455,nm0338381,2016-11-07,2016-11-07,,Tom Green,Freddy Got Fingered,1971-07-30
456,nm0934578,2016-11-07,2016-11-07,,Simon Wincer,The Phantom,
457,nm0410139,2016-11-07,2016-11-07,,John Irvin,Raw Deal,1940-05-07
458,nm0853380,2016-11-07,2016-11-07,,Julie Taymor,Frida,1952-12-15
459,nm0000816,2016-11-07,2016-11-07,,Jon Avnet,Fried Green Tomatoes,1949-11-17
460,nm0603628,2016-11-07,2016-11-07,,Pierre Morel,Banlieue 13,1964-05-12
461,nm0031976,2016-11-07,2016-11-07,,Judd Apatow,Girls,1967-12-06
462,nm0787601,2016-11-07,2016-11-07,,Steven Shainberg,Secretary,1963-02-05
463,nm2325065,2016-11-07,2016-11-07,,Shane Abbess,Infini,
464,nm0001355,2016-11-07,2016-11-07,,Michael Hoffman,The Last Station,1956-11-30
465,nm0006476,2016-11-07,2016-11-07,,Paul McGuigan,Lucky Number Slevin,1963-09-19
466,nm0281508,2016-11-07,2016-11-07,,Ruben Fleischer,Jekyll,1974-10-31
467,nm0629272,2016-11-07,2016-11-07,,Andrew Niccol,Gattaca,1964-06-10
468,nm0443181,2016-11-07,2016-11-07,,Stephen Kay,Get Carter,
469,nm0641373,2016-11-07,2016-11-07,,Tommy O'Haver,An American Crime,1968-10-24
470,nm0001756,2016-11-07,2016-11-07,,Barry Sonnenfeld,Men in Black,1953-04-01
471,nm0222043,2016-11-07,2016-11-07,,Howard Deutch,Some Kind of Wonderful,1950-09-14
472,nm0065284,2016-11-07,2016-11-07,,Steve Beck,The Abyss,
473,nm0462895,2016-11-07,2016-11-07,,David Koepp,Jurassic Park,1963-06-09
474,nm0003355,2016-11-07,2016-11-07,,Christopher Monger,The Englishman Who Went Up a Hill But Came Down a Mountain,
475,nm0916424,2016-11-07,2016-11-07,,Peter Webber,Girl with a Pearl Earring,
476,nm0134176,2016-11-07,2016-11-07,,Danny Cannon,CSI: Crime Scene Investigation,
477,nm0358327,2016-11-07,2016-11-07,,Nick Hamm,Driven,
478,nm0000197,2016-11-07,2016-11-07,,Jack Nicholson,Chinatown,1937-04-22
479,nm0000255,2016-11-07,2016-11-07,,Ben Affleck,Argo,1972-08-15
480,nm0784061,2016-11-07,2016-11-07,,Dominic Sena,Kalifornia,1949-04-26
481,nm0313227,2016-11-07,2016-11-07,,Henrik Ruben Genz,Frygtelig lykkelig,1959-11-07
482,nm0236226,2016-11-07,2016-11-07,,Michael Dowse,It's All Gone Pete Tong,1973-04-19
483,nm0196860,2016-11-07,2016-11-07,,Olivier Dahan,La Môme,1967-06-26
484,nm0025978,2016-11-07,2016-11-07,,Allison Anders,Gas Food Lodging,1954-11-16
485,nm0459170,2016-11-07,2016-11-07,,Randal Kleiser,Flight of the Navigator,1946-07-20
486,nm0591994,2016-11-07,2016-11-07,,Lexi Alexander,Hooligans,1974-08-23
487,nm0001102,2016-11-07,2016-11-07,,Joe Dante,Innerspace,1946-11-28
488,nm0193554,2016-11-07,2016-11-07,,Vondie Curtis-Hall,Romeo + Juliet,1950-09-30
489,nm0677953,2016-11-07,2016-11-07,,Donald Petrie,How to Lose a Guy in 10 Days,1954-04-02
490,nm0838198,2016-11-07,2016-11-07,,Kevin Rodney Sullivan,Guess Who,1958-08-03
491,nm1224299,2016-11-07,2016-11-07,,Rob Letterman,Monsters vs. Aliens,
492,nm0812200,2016-11-07,2016-11-07,,Iain Softley,Backbeat,
493,nm0281396,2016-11-07,2016-11-07,,Ryan Fleck,Half Nelson,1976-09-20
494,nm0001874,2016-11-07,2016-11-07,,Franco Zeffirelli,Romeo and Juliet,1923-02-12
495,nm0000916,2016-11-07,2016-11-07,,Peter Berg,Chicago Hope,1964-03-11
496,nm1720541,2016-11-07,2016-11-07,,David Slade,Hard Candy,1969-09-26
497,nm0338719,2016-11-07,2016-11-07,,David Greene,Godspell: A Musical Based on the Gospel According to St. Matthew,1921-02-22
498,nm0000759,2016-11-07,2016-11-07,,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
499,nm0005522,2016-11-07,2016-11-07,,Mario Van Peebles,Heartbreak Ridge,1957-01-15
500,nm0004121,2016-11-07,2016-11-07,,Mikael Salomon,The Long Road Home,1945-02-24
501,nm0000552,2016-11-07,2016-11-07,,Eddie Murphy,The Nutty Professor,1961-04-03
502,nm2905562,2016-11-07,2016-11-07,,Daniel Barber,Harry Brown,
503,nm0043742,2016-11-07,2016-11-07,,David Ayer,End of Watch,1968-01-18
504,nm0477129,2016-11-07,2016-11-07,,Ken Kwapis,One Mississippi,1957-08-17
505,nm0001674,2016-11-07,2016-11-07,,Chris Rock,Top Five,1965-02-07
506,nm0592400,2016-11-07,2016-11-07,,David Mirkin,The Simpsons,1955-09-18
507,nm0382956,2016-11-07,2016-11-07,,Scott Hicks,Shine,1953-03-04
508,nm0878756,2016-11-07,2016-11-07,,Tom Tykwer,Lola rennt,1965-05-23
509,nm0155093,2016-11-07,2016-11-07,,Peter Chelsom,The Space Between Us,1956-04-20
510,nm0000519,2016-11-07,2016-11-07,,David Mamet,House of Games,1947-11-30
511,nm0868219,2016-11-07,2016-11-07,,Guillermo del Toro,El laberinto del fauno,1964-10-09
512,nm0675068,2016-11-07,2016-11-07,,Frank Perry,Mommie Dearest,1930-08-21
513,nm0442241,2016-11-07,2016-11-07,,Philip Kaufman,The Right Stuff,1936-10-23
514,nm0893473,2016-11-07,2016-11-07,,Malcolm Venville,44 Inch Chest,
515,nm0002653,2016-11-07,2016-11-07,,Joe Johnston,Captain America: The First Avenger,1950-05-13
516,nm0689852,2016-11-07,2016-11-07,,John Polson,Mission: Impossible II,1965-09-06
517,nm0611683,2016-11-07,2016-11-07,,Russell Mulcahy,Highlander,1953-06-23
518,nm3124542,2016-11-07,2016-11-07,,David Palmer,Hit and Run,
519,nm1009277,2016-11-07,2016-11-07,,Dax Shepard,Hit and Run,1975-01-02
520,nm1164755,2016-11-07,2016-11-07,,Xavier Gens,Frontière(s),1975-04-27
521,nm0002339,2016-11-07,2016-11-07,,Allen Coulter,Remember Me,
522,nm0000559,2016-11-07,2016-11-07,,Leonard Nimoy,Star Trek IV: The Voyage Home,1931-03-26
523,nm0000921,2016-11-07,2016-11-07,,Andrew Bergman,Striptease,1945-02-20
524,nm0014960,2016-11-07,2016-11-07,,Alexandre Aja,The Hills Have Eyes,1978-08-07
525,nm1164861,2016-11-07,2016-11-07,,Seth Gordon,Pixels,
526,nm0744834,2016-11-07,2016-11-07,,Eli Roth,Cabin Fever,1972-04-18
527,nm0942367,2016-11-07,2016-11-07,,Edgar Wright,Shaun of the Dead,1974-04-18
528,nm0313623,2016-11-07,2016-11-07,,Terry George,Hotel Rwanda,1952-12-20
529,nm1429471,2016-11-07,2016-11-07,,Jaume Collet-Serra,The Shallows,1974-03-23
530,nm0540532,2016-11-07,2016-11-07,,William Malone,House on Haunted Hill,
531,nm0245888,2016-11-07,2016-11-07,,Jesse Dylan,Kicking & Screaming,1966-01-06
532,nm0531817,2016-11-07,2016-11-07,,Kevin Macdonald,The Last King of Scotland,1967-10-28
533,nm0004332,2016-11-07,2016-11-07,,Robert B. Weide,Curb Your Enthusiasm,1959-06-20
534,nm1140275,2016-11-07,2016-11-07,,Steven Knight,Serenity,
535,nm2588606,2016-11-07,2016-11-07,,Steve McQueen,12 Years a Slave,1969-10-09
536,nm0200978,2016-11-07,2016-11-07,,Jonathan Darby,Contact,
537,nm0923330,2016-11-07,2016-11-07,,Tanya Wexler,Hysteria,1970-08-06
538,nm0001639,2016-11-07,2016-11-07,,Alex Proyas,Dark City,1963-09-23
539,nm0741262,2016-11-07,2016-11-07,,Bernard Rose,Candyman,1960-08-04
540,nm0802248,2016-11-07,2016-11-07,,Tarsem Singh,The Fall,1961-05-26
541,nm1870470,2016-11-07,2016-11-07,,Hayley Cloake,The House of Usher,
542,nm1732981,2016-11-07,2016-11-07,,Martin McDonagh,In Bruges,1970-03-26
543,nm0001403,2016-11-07,2016-11-07,,Neil Jordan,The Crying Game,1950-02-25
544,nm0276062,2016-11-07,2016-11-07,,Todd Field,Little Children,1964-02-24
545,nm0001005,2016-11-07,2016-11-07,,Jane Campion,The Piano,1954-04-30
546,nm0851724,2016-11-07,2016-11-07,,Bertrand Tavernier,Un dimanche à la campagne,1941-04-25
547,nm0406334,2016-11-07,2016-11-07,,Armando Iannucci,The Death of Stalin,1963-11-28
548,nm0753382,2016-11-07,2016-11-07,,Michael Rymer,Picnic at Hanging Rock,
549,nm0440859,2016-11-07,2016-11-07,,Adam Kassen,Puncture,1974-05-27
550,nm0440860,2016-11-07,2016-11-07,,Mark Kassen,Before We Go,1971-10-04
551,nm0640740,2016-11-07,2016-11-07,,Damien O'Donnell,East Is East,
552,nm0005509,2016-11-07,2016-11-07,,Jon Turteltaub,Cool Runnings,1963-08-08
553,nm0041932,2016-11-07,2016-11-07,,Mark Rydell,The Long Goodbye,1929-03-23
554,nm0007082,2016-11-07,2016-11-07,,John Stockwell,Top Gun,1961-03-25
555,nm0000576,2016-11-07,2016-11-07,,Sean Penn,Mystic River,1960-08-17
556,nm0294379,2016-11-07,2016-11-07,,Juan Carlos Fresnadillo,28 Weeks Later,1967-12-05
557,nm0179697,2016-11-07,2016-11-07,,Ericson Core,The Fast and the Furious,
558,nm0561938,2016-11-07,2016-11-07,,Elaine May,Small Time Crooks,1932-04-21
559,nm0270090,2016-11-07,2016-11-07,,Steven Feder,Code Name: Wild Card,
560,nm0583600,2016-11-07,2016-11-07,,Nancy Meyers,It's Complicated,1949-12-08
561,nm0003160,2016-11-07,2016-11-07,,Christopher McQuarrie,The Usual Suspects,1968-10-25
562,nm1333798,2016-11-07,2016-11-07,,Mabrouk El Mechri,JCVD,1976-09-18
563,nm0732430,2016-11-07,2016-11-07,,Bruce Robinson,Withnail & I,1946-05-02
564,nm0000108,2016-11-07,2016-11-07,,Luc Besson,The Fifth Element,1959-03-18
565,nm0836328,2016-11-07,2016-11-07,,John Sturges,The Great Escape,1910-01-03
566,nm0664756,2016-11-07,2016-11-07,,John Pasquin,The Santa Clause,1945-06-08
567,nm0821432,2016-11-07,2016-11-07,,Chad Stahelski,John Wick,1968-09-20
568,nm0371755,2016-11-07,2016-11-07,,Jimmy Hayward,Horton Hears a Who!,
569,nm0108094,2016-11-07,2016-11-07,,Eric Brevig,Men in Black,
570,nm0003593,2016-11-07,2016-11-07,,Fred Zinnemann,A Man for All Seasons,1907-04-29
571,nm0607275,2016-11-07,2016-11-07,,Phil Morrison,Junebug,
572,nm0718646,2016-11-07,2016-11-07,,Jason Reitman,Up in the Air,1977-10-19
573,nm0688585,2016-11-07,2016-11-07,,Jean-Marie Poiré,Les visiteurs,1945-07-10
574,nm0001570,2016-11-07,2016-11-07,,Edward Norton,Motherless Brooklyn,1969-08-18
575,nm0425894,2016-11-07,2016-11-07,,Niall Johnson,Keeping Mum,
576,nm0019242,2016-11-07,2016-11-07,,Daniel Alfredson,Flickan som lekte med elden,1959-05-23
577,nm0001093,2016-11-07,2016-11-07,,John Dahl,Kill Me Again,
578,nm0826541,2016-11-07,2016-11-07,,Kriv Stenders,Red Dog,
579,nm0525659,2016-11-07,2016-11-07,,Robert Luketic,The Ugly Truth,1973-11-01
580,nm0155280,2016-11-07,2016-11-07,,Kaige Chen,Ba wang bie ji,1952-08-12
581,nm0001392,2016-11-07,2016-11-07,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
582,nm0911486,2016-11-07,2016-11-07,,David S. Ward,The Sting,1945-10-25
583,nm0125803,2016-11-07,2016-11-07,,Bobby Farrelly,There's Something About Mary,1958-06-17
584,nm0000948,2016-11-07,2016-11-07,,Shane Black,The Nice Guys,1961-12-16
585,nm0619599,2016-11-07,2016-11-07,,Chris Nahon,Kiss of the Dragon,1968-12-05
586,nm0002199,2016-11-07,2016-11-07,,Hector Babenco,Carandiru,1946-02-07
587,nm0002718,2016-11-07,2016-11-07,,Brian Koppelman,Runaway Jury,
588,nm0199722,2016-11-07,2016-11-07,,Rod Daniel,WKRP in Cincinnati,1942-08-04
589,nm0788555,2016-11-07,2016-11-07,,Lara Shapiro,The Americans,
590,nm0751221,2016-11-07,2016-11-07,,Jay Russell,My Dog Skip,1960-01-10
591,nm0001097,2016-11-07,2016-11-07,,Charles Dance,Gosford Park,1946-10-10
592,nm0001681,2016-11-07,2016-11-07,,George A. Romero,Land of the Dead,1940-02-04
593,nm0492979,2016-11-07,2016-11-07,,Ray Lawrence,Lantana,
594,nm0836430,2016-11-07,2016-11-07,,Charles Sturridge,Strike,1951-06-24
595,nm0002726,2016-11-07,2016-11-07,,Roger Young,Joseph,1942-05-13
596,nm0634811,2016-11-07,2016-11-07,,Omid Nooshin,Last Passenger,1974-05-02
597,nm0000934,2016-11-07,2016-11-07,,Bernardo Bertolucci,Ultimo tango a Parigi,1941-03-16
598,nm0384825,2016-11-07,2016-11-07,,John Hillcoat,The Road,
599,nm0241090,2016-11-07,2016-11-07,,John Duigan,The Year My Voice Broke,1949-06-19
600,nm0891216,2016-11-07,2016-11-07,,Matthew Vaughn,Kick-Ass,1971-03-07
601,nm0625789,2016-11-07,2016-11-07,,Tim Blake Nelson,"O Brother, Where Art Thou?",1964-05-11
602,nm0002184,2016-11-07,2016-11-07,,Vic Armstrong,I Am Legend,1946-10-05
603,nm0829820,2016-11-07,2016-11-07,,Scott Stewart,Dark Skies,
604,nm0000806,2016-11-07,2016-11-07,,Bille August,The House of the Spirits,1948-11-09
605,nm0716257,2016-11-07,2016-11-07,,Matt Reeves,Let Me In,1966-04-27
606,nm0004412,2016-11-07,2016-11-07,,Ed Solomon,Men in Black,1960-09-15
607,nm0804556,2016-11-07,2016-11-07,,Kari Skogland,The Falcon and the Winter Soldier,
608,nm1633080,2016-11-07,2016-11-07,,Daniel Schechter,Safe Spaces,
609,nm0487567,2016-11-07,2016-11-07,,James Lapine,Into the Woods,1949-01-10
610,nm0831690,2016-11-07,2016-11-07,,Charles Stone III,Drumline,
